,date_FCR_F,new_coil,pp_FCR_F,FCR_F_1,FCR_F_2,FCR_F_3,FCR_F_4,FCR_F_5,FCR_F_6,FCR_F_7,FCR_F_8,FCR_F_9,FCR_F_10,FCR_F_11,FCR_F_12,FCR_F_13,FCR_F_14,FCR_F_15,FCR_F_16,FCR_F_17,FCR_F_18,FCR_F_19,FCR_F_20,date_FCR_B,pp_FCR_B,FCR_B_1,FCR_B_2,FCR_B_3,FCR_B_4,FCR_B_5,FCR_B_6,FCR_B_7,FCR_B_8,FCR_B_9,FCR_B_10,FCR_B_11,FCR_B_12,FCR_B_13,FCR_B_14,FCR_B_15,FCR_B_16,FCR_B_17,FCR_B_18,FCR_B_19,FCR_B_20,date_TA_F,pp_TA_F,TA_F_1,TA_F_2,TA_F_3,TA_F_4,TA_F_5,TA_F_6,TA_F_7,TA_F_8,TA_F_9,TA_F_10,TA_F_11,TA_F_12,TA_F_13,TA_F_14,TA_F_15,TA_F_16,TA_F_17,TA_F_18,TA_F_19,TA_F_20,date_TA_B,pp_TA_B,TA_B_1,TA_B_2,TA_B_3,TA_B_4,TA_B_5,TA_B_6,TA_B_7,TA_B_8,TA_B_9,TA_B_10,TA_B_11,TA_B_12,TA_B_13,TA_B_14,TA_B_15,TA_B_16,TA_B_17,TA_B_18,TA_B_19,TA_B_20,ì‹Æ”NŒŽ“úŽž•ª,”Mˆ—‘¬“x,˜F‰·1,˜F‰·2,˜F‰·3,˜F‰·4,˜F‰·5,˜F‰·6,˜F‰·7,˜F‰·8,˜F‰·9,˜F‰·10,˜F‰·11,˜F‰·12,˜F‰·13,˜F‰·14,˜F‰·15,˜F‰·16
0,2023/4/15 0:00,49134-11,9F,14.39772902,3.015332885,0,0.479468642,0.775821311,1.638431626,2.051087434,2.460239006,1.364409808,0.99069534,0.772082702,0.248303665,0.395933423,0.899395583,0.736544237,0.840219159,1.414581011,3.619170698,8.066630724,13.72270899,2023/4/15 0:00,9B,18.13692815,3.790267894,0,0.5580581,0.992576976,2.033760753,2.587748808,2.960987334,1.826557823,1.471247907,0.333904206,0.013008494,0.307649365,0.652010627,0.720562883,1.595945195,2.631035091,4.617210776,10.47850473,17.89083422,2023/4/22 0:00,4F,15.62928015,4.375638994,0.161600835,0.145767961,1.04099905,3.247808075,3.881589918,4.596311553,4.030737937,4.241917863,3.311897983,0.970767729,0.422961196,0.178039043,0,0.423497983,0.824422315,2.428720031,6.250616195,13.48405835,2023/4/22 0:00,4B,16.65882361,4.16643283,0.31190149,0.328614053,0.859681499,1.652423839,2.494233333,3.273036258,3.384329955,3.752579623,2.00652387,0.570906164,0.501260869,0.575591838,0.108839574,0,1.169751128,2.753667958,7.081118382,13.97403876,2.02304E+11,52.5,656,653,657,654,652,654,643,654,506,406,292,302,210,204,83,16
1,2023/4/15 0:00,49134-12,9F,15.55724656,4.253771031,0.108133569,0.81974524,1.503837023,1.987189811,2.420419891,2.349367554,2.227421291,2.087417825,0.881074048,0,0.731836396,0.534340907,0.108003349,0.85135313,2.035339429,2.633855226,6.354551505,7.017091642,2023/4/15 0:00,9B,12.86805226,4.347835709,0,0.476015594,1.263865794,1.91330916,2.823924994,2.167801309,1.569220842,1.500726566,0.959821581,0.789794218,1.568435316,1.387555508,0.618092625,0.651240786,1.425826664,2.963361582,6.921699924,10.12179671,2023/4/15 0:00,4F,10.85964141,3.946886235,0.251580838,0.415364222,1.356750321,2.330386116,4.693199252,5.512621347,6.5168777,6.685642433,3.363222893,0.608725667,0.026257116,0.283414756,0,0.760305232,1.314079057,2.25053633,5.882247692,8.586226114,2023/4/15 0:00,4B,12.91509272,2.5820181,0.043617481,0.84199656,2.207273454,2.811899832,4.690323408,5.026854459,4.448363106,3.50724901,1.252475711,0.16858888,0.007054105,0.076176167,0,0.433399022,1.830434126,2.864032587,6.868363493,11.27325781,2.02304E+11,52.5,657,653,657,654,653,654,644,654,508,401,292,302,213,201,103,20
2,2023/5/7 0:00,49135-1,9F,14.57178104,5.226943419,1.243541795,1.725208949,0.96220591,0.626832164,0.069161911,0.484763117,0.13164615,0.139355847,0,1.074206782,1.826897449,0.558422614,0.420936664,1.206509947,3.39418048,5.964097753,11.10100415,19.44886171,,,,,,,,,,,,,,,,,,,,,,,2023/5/11 0:00,4F,13.7515207,4.047154986,0.288738006,0.002929592,0.020527473,0.134025032,0.723034499,2.060792241,1.686710949,0.595211571,0.836044177,1.066538352,1.329409127,0.269966672,0,0.037175201,0.488552805,2.34812937,6.430154933,12.84161438,2023/5/11 0:00,4B,13.25804342,2.493341339,0,0.023214304,0.301333887,0.947714394,2.117828711,2.676119732,2.665997863,2.286022771,2.305909032,1.347313539,0.940886211,0.421182294,0.235366503,0.169315641,1.139534079,2.968098678,7.583181361,15.72190669,2.02305E+11,52.5,656,653,656,655,652,655,643,655,488,401,292,302,218,206,93,18
3,2023/5/7 0:00,49136-1,9F,14.56529712,4.591800673,0.244063404,0.306362065,0.357650818,1.041130428,1.498670115,1.619105168,0.520453718,0,0.080823003,0.706313852,0.499091556,0.068213894,0.070005191,0.321740434,1.280861611,2.978696032,6.407365182,10.27919279,2023/5/7 0:00,9B,16.46377015,6.440837806,2.576700657,1.888407653,1.479283069,1.349521615,1.083076843,0.917578526,0.205261308,0.004539107,0,0.170597235,1.351820085,0.459818973,0.679864154,0.483925746,2.1690535,4.734563645,9.705874449,17.49944955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2023/5/7 0:00,49137-1,9F,17.17560733,5.213966673,0.541531312,1.152617161,1.638883498,2.704844745,3.174398902,2.137954695,0.734214297,0.538343123,0.247191685,0.254917231,0.260425875,0,0.017800922,0.224622738,1.953984584,3.619177173,7.691078257,13.01149052,2023/5/8 0:00,9B,18.14698599,9.433210533,3.774661684,3.361627565,2.458139133,2.207351684,1.117122551,0.252497902,0,0.351555139,0.070181138,0.837600219,0.814684237,0.45417368,1.060970538,1.58389798,3.87125904,5.609659379,10.31519499,18.1912344,2023/5/11 0:00,4F,15.79716008,6.541940996,1.519976572,0.301231413,0,0.040926169,0.239588306,0.43252512,0.94734968,1.306351228,0.601094735,0.454063051,0.454954057,0.056441672,0.28728562,0.260589215,1.759472498,3.80293209,9.199160807,17.99316518,2023/5/11 0:00,4B,5.92906721,0.505320197,0.019305849,0.102745619,0.281749409,1.023840905,2.277261252,2.796083489,2.486736474,1.748853433,1.914423578,1.942957299,1.136307076,0.05183145,0,0.247981548,1.788812591,2.000866324,4.791119125,8.969177393,2.02305E+11,52.5,657,653,657,654,653,654,645,654,508,401,292,302,211,198,93,22
5,2023/5/8 0:00,49135-2,9F,15.93417666,5.629735909,0.732209555,0.284865326,0.213036405,0.435435098,0.621982086,0.984339177,0.482776455,0.206525167,0,0.355376677,1.412509711,1.126282744,1.200678766,1.949912884,4.019661517,5.480367409,9.931306901,13.34665011,2023/5/8 0:00,9B,15.58438647,6.820222412,0.797324047,0.83696078,0.294828901,1.143297583,0.603909655,0.577913669,0,0.541471093,0.276352715,1.389808111,1.560512881,1.428208098,0.225230797,1.108989783,3.519045813,6.351993465,11.67291805,18.33174439,2023/5/11 0:00,4F,15.45588923,7.574419359,1.710613383,0.490117287,0,0.226480987,0.337642805,1.202913536,1.460941021,0.889950612,0.060907029,0.593428201,1.196028844,1.175378223,0.093478663,0.051505955,1.012476582,2.932879206,8.00760344,13.90655883,2023/5/11 0:00,4B,15.4654469,4.516816263,0.481123106,0.270830592,0.092175895,0.30098227,0.566797881,1.244236496,1.050664903,1.324444957,0.916306948,0.72445343,0.4330874,0.04592023,0,0.653731613,2.324485689,3.57294034,6.904149476,11.01734702,2.02305E+11,52.5,656,653,657,654,653,654,642,654,506,401,292,302,222,209,94,18
6,2023/5/8 0:00,49137-2,9F,16.10157637,6.076167511,1.206344651,0.74151066,0.169533732,0.519044719,0.471772137,0.472002302,0.496313079,0.264804159,0,0.181643617,1.370152573,0.6499818,0.56528824,1.261132178,2.591865398,4.939168777,9.341731848,16.63221297,2023/5/8 0:00,9B,14.09317969,7.173894188,1.2086533,0.649231428,0,0.972116949,0.587076944,0.664583583,0.361308016,0.218094137,0.501570663,1.04128644,0.876739214,1.25685161,0.464613777,0.610691659,2.927989367,5.855427208,11.83965841,21.44429609,2023/5/11 0:00,4F,14.88826904,6.688323709,1.194623803,0.262049534,0,0.346701172,1.078785291,2.558996493,2.986371374,3.069916834,1.867847168,0.924845594,0.561669343,0.445105929,0.02499066,0.169276712,1.955595573,4.262921062,9.964404672,18.69279133,2023/5/11 0:00,4B,18.58446593,6.486299445,0.564941282,0.000706124,0.091212019,0.909219716,1.488427825,2.480950217,3.88883999,5.067072138,3.723246832,2.346275679,1.023348506,0.198220779,0,0.207203498,1.145642327,2.030277667,6.574092722,14.38459327,2.02305E+11,52.5,656,653,657,654,652,654,644,655,507,401,292,302,213,200,92,22
7,2023/5/8 0:00,49183-1,9F,12.91918214,4.470863309,0.412044863,0.505775102,0,0.266797874,0.840959203,1.106426764,0.33235918,0.022665914,0.037579184,0.648243522,1.08463455,0.001640215,0.30635367,0.500275382,1.870637348,3.473326237,7.152629625,11.72312815,2023/5/8 0:00,9B,14.91101853,5.913067916,0.576597327,0.429304234,0.09706644,0.6354717,0.790157933,1.069317445,0.044736938,0.125888127,0,0.616736609,0.952172455,1.084081422,1.124312581,2.034358281,4.637845071,7.766994851,12.56798376,18.97361462,2023/5/11 0:00,4F,14.38614009,6.088678122,0.855951601,0.220972145,0.068956894,0.746549723,1.247111938,1.123150774,0.570358866,1.037674447,0.669253079,0.932437768,0.573582277,0.144017715,0,0.747050258,2.001075691,3.810018133,7.287835008,13.57872791,2023/5/11 0:00,4B,14.22291137,4.169255657,0.477589991,0.132107616,0.087277276,0.366970004,1.500807037,2.925986561,2.325232697,1.866813233,0.769157207,0.579099356,0.10353085,0,0.125870907,0.428108996,1.035590016,2.19160378,6.192609067,11.55163229,2.02305E+11,52.5,656,653,657,654,652,654,644,655,507,401,291,302,216,197,99,20
8,2023/5/9 0:00,49183-21,9F,13.33112563,4.388145754,0.759217457,0.683206532,0.386965788,0.791867784,1.252604313,0.842806094,1.338713911,0.587403041,0,0.537184601,0.228225052,0.350397837,0.61747772,1.409604411,2.740735061,4.820720878,9.04053193,13.96972556,2023/5/9 0:00,9B,14.60698871,7.240052447,1.677573765,1.580169584,0.587027973,0.972838332,0.933513778,0.982161364,0.384343579,0,0.015644496,1.067820121,1.304887969,1.440892077,1.267942036,3.341676158,5.00146915,8.176400669,12.39706917,19.45773518,2023/5/11 0:00,4F,14.76661014,5.876597658,0.526087253,0.081084296,0.155241872,0.095916681,0.327676263,0.171620809,0.560651242,0.513715925,0.213998728,0.503162274,0.291441048,0,0.385875838,1.624755276,2.690300245,4.2725726,8.339988676,15.56707753,2023/5/11 0:00,4B,11.61793352,2.32395223,0.019013056,0.102511918,0.157032175,0.428544725,1.142848143,1.865514036,1.522745302,0.870891215,0.619460319,1.140800876,1.095693887,0.393411238,0,0.072687505,0.464161556,1.539314509,5.273275985,14.00680841,2.02305E+11,52.5,656,653,657,654,653,654,643,655,508,401,292,302,221,198,96,21
9,2023/5/9 0:00,49185-1,9F,12.07986354,3.669826176,0.071462384,0.655994441,0.8391373,0.786631647,0.783099447,0.49682063,0.122290224,0,0.059924723,0.149330847,0.558077702,0.500551453,0.207656803,0.735236409,2.938700953,4.573130134,9.142119274,16.97519241,2023/5/9 0:00,9B,13.847859,4.132809184,0.251121291,0.449257291,0.191320909,0.438362845,0.41778534,0.848467437,0.113915216,0.387526365,0,0.511379973,1.376721437,1.267471316,1.470812367,2.825944067,4.432133848,6.6538474,11.63903814,19.5452435,2023/5/11 0:00,4F,10.28285247,4.814173515,0.725138196,0.648533419,0.101931437,0,0.129856797,0.813880541,0.827111192,1.780051846,1.125281611,0.935281899,0.510934363,0.236919047,0.068636543,1.438616172,3.112867355,4.695533518,9.185719546,14.43936689,2023/5/11 0:00,4B,11.99731292,3.524858046,0,0.238655274,0.28933018,0.355781564,0.717071079,1.447440677,1.528660256,1.739958822,2.215558991,2.519836028,2.078232806,0.632156435,0.236350101,0.162148426,1.28053836,2.823159221,6.639983968,14.65655366,2.02305E+11,52.5,656,653,657,654,652,654,643,654,507,401,292,302,220,199,88,20
