ã¶íËédólî‘çÜ_é˘óvâ∆ÉRÅ[Éh,ã¶íËédólî‘çÜ_ïiéÌÉRÅ[Éh,ã¶íËédólî‘çÜ_ç|éÌÉRÅ[Éh,ã¶íËédólî‘çÜ_í≤éøÉRÅ[Éh,ã¶íËédólî‘çÜ_édè„ÉRÅ[Éh,ã¶íËédólî‘çÜ_åˆèÃî¬å˙,ã¶íËédólî‘çÜ_åˆèÃî¬ïù,ã¶íËédólî‘çÜ_òAî‘,ã¶íËédólî‘çÜ_â¸í˘î‘çÜ,ÉRÉCÉãî‘çÜ,ÉRÉCÉãï™äÑî‘çÜ,çÏã∆îNåéì˙éûï™,çHíˆÉRÅ[Éh_çÏã∆ÉRÅ[Éh,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh1,çHíˆÉRÅ[Éh_ÉâÉCÉìÉRÅ[Éh2,çHíˆÉRÅ[Éh_èàóùéÌï ,ëOñ èoÇµãÊï™,çÏã∆å„ÉRÉCÉãí∑Ç≥,îMèàóù_ë¨ìx,îMèàóù_í£óÕì¸ë§,îMèàóù_í£óÕíÜâõ,îMèàóù_í£óÕèoë§,îMèàóù_H2ó¨ó ,îMèàóù_òFâ∑1,îMèàóù_òFâ∑2,îMèàóù_òFâ∑3,îMèàóù_òFâ∑4,îMèàóù_òFâ∑5,îMèàóù_òFâ∑6,îMèàóù_òFâ∑7,îMèàóù_òFâ∑8,îMèàóù_òFâ∑9,îMèàóù_òFâ∑10,îMèàóù_òFâ∑11,îMèàóù_òFâ∑12,îMèàóù_òFâ∑13,îMèàóù_òFâ∑14,îMèàóù_òFâ∑15,îMèàóù_òFâ∑16
D250,S,600,34,MW,0300,4600,91,04,49134,12,202304152015,2,0,6,4,0,830,52.5,9.88,2,37.6,59,657,653,657,654,653,654,644,654,508,401,292,302,213,201,103,20
D250,S,600,34,MW,0300,4600,91,04,49134,11,202304220511,2,0,6,4,0,650,52.5,9.91,1.14,38.04,59,656,653,657,654,652,654,643,654,506,406,292,302,210,204,83,16
D250,S,600,34,MW,0300,4600,03,01,49135,1,202305110557,2,0,6,4,0,4422,52.5,9.99,2.06,39.27,59,656,653,656,655,652,655,643,655,488,401,292,302,218,206,93,18
D250,S,600,34,MW,0300,4600,03,01,49135,2,202305110913,2,0,6,4,0,5270,52.5,9.97,2.07,39.26,59,656,653,657,654,653,654,642,654,506,401,292,302,222,209,94,18
D250,S,600,34,MW,0300,4600,03,01,49183,1,202305111237,2,0,6,4,0,5278,52.5,9.94,2.06,37.59,59,656,653,657,654,652,654,644,655,507,401,291,302,216,197,99,20
D250,S,600,34,MW,0300,4600,03,01,49183,21,202305111428,2,0,6,4,0,2374,52.5,9.98,2.06,37.84,59,656,653,657,654,653,654,643,655,508,401,292,302,221,198,96,21
D250,S,600,34,MW,0300,4600,03,01,49137,1,202305111718,2,0,6,4,0,4294,52.5,9.96,2.03,39.13,59,657,653,657,654,653,654,645,654,508,401,292,302,211,198,93,22
D250,S,600,34,MW,0300,4600,03,01,49137,2,202305112031,2,0,6,4,0,5319,52.5,9.94,2.08,39.13,59,656,653,657,654,652,654,644,655,507,401,292,302,213,200,92,22
D250,S,600,34,MW,0300,4600,03,01,49185,1,202305112343,2,0,6,4,0,4429,52.5,9.99,2.05,37.54,59,656,653,657,654,652,654,643,654,507,401,292,302,220,199,88,20
D250,S,600,34,MW,0300,4600,03,01,49185,2,202305120245,2,0,6,4,0,5442,52.5,9.99,2.05,38.37,59,656,653,657,654,652,654,644,654,507,401,291,302,217,198,85,19
D250,S,600,34,MW,0300,4600,03,01,49183,22,202305120444,2,0,6,4,0,1639,52.5,9.9,2.04,38.1,59,656,653,657,654,654,654,645,654,507,401,291,302,216,197,90,18
D250,S,600,34,MW,0300,4600,03,01,49187,1,202305240403,2,0,6,4,0,5071,52.5,9.98,2.07,38.78,60,657,654,656,654,652,654,647,654,500,401,292,302,203,200,83,19
D250,S,600,34,MW,0300,4600,03,01,49189,1,202305242240,2,0,6,4,0,4832,52.5,10,2.04,38.98,60,656,653,657,654,652,654,645,654,503,401,292,302,210,201,86,20
D250,S,600,34,MW,0300,4600,03,01,49187,2,202305250141,2,0,6,4,0,5069,52.5,9.94,2.02,38.97,60,657,653,657,654,653,654,645,654,505,401,292,302,203,201,83,20
D250,S,600,34,MW,0300,4600,03,01,49189,2,202305250452,2,0,6,4,0,4873,52.5,10,2.03,39.25,60,656,653,657,654,653,654,643,654,503,401,292,302,204,202,86,20
D250,S,600,34,MW,0300,4600,03,01,49361,1,202306190726,2,0,6,4,0,4380,52.5,9.98,2.04,38.79,59,658,655,656,655,653,656,644,656,508,404,294,302,207,199,90,24
D250,S,600,34,MW,0300,4600,03,01,49361,2,202306191116,2,0,6,4,0,5618,52.5,9.99,2.06,39.03,59,659,655,657,654,653,655,649,656,512,403,295,302,204,201,88,25
D250,S,600,34,MW,0300,4600,03,01,49363,1,202306191401,2,0,6,4,0,4230,52.5,9.94,2.03,38.87,59,659,654,657,654,653,655,648,657,514,404,298,302,206,201,87,25
D250,S,600,34,MW,0300,4600,03,01,49363,2,202306191722,2,0,6,4,0,5190,52.5,9.95,2.08,39.16,59,658,654,657,654,654,655,648,656,513,404,297,302,204,203,89,26
D250,S,600,34,MW,0300,4600,03,01,49364,1,202306191959,2,0,6,4,0,1577,52.5,9.93,2.03,39.01,59,658,654,657,654,655,655,648,657,512,404,296,302,205,202,86,27
D250,S,600,34,MW,0300,4600,03,01,49364,21,202306192214,2,0,6,4,0,3250,52.5,9.98,2.03,37.17,59,659,655,657,654,653,655,649,657,514,404,297,302,207,203,88,27
D250,S,600,34,MW,0300,4600,03,01,49365,1,202306200114,2,0,6,4,0,3991,52.5,9.97,2.07,38.59,59,657,655,657,654,654,655,647,656,515,404,297,302,207,202,86,26
