Angle [deg],DRValue [um]
0,0.728
0.025,0.764
0.05,0.799
0.075,0.831
0.1,0.849
0.125,0.859
0.15,0.865
0.175,0.86
0.2,0.846
0.225,0.828
0.25,0.796
0.275,0.762
0.3,0.729
0.325,0.683
0.35,0.645
0.375,0.605
0.4,0.553
0.425,0.507
0.45,0.466
0.475,0.418
0.5,0.366
0.525,0.33
0.55,0.29
0.575,0.247
0.6,0.197
0.625,0.169
0.65,0.141
0.675,0.117
0.7,0.096
0.725,0.084
0.75,0.074
0.775,0.056
0.8,0.046
0.825,0.04
0.85,0.029
0.875,0.015
0.9,0.001
0.925,-0.009
0.95,-0.017
0.975,-0.022
1,-0.026
1.025,-0.024
1.05,-0.016
1.075,0.002
1.1,0.022
1.125,0.053
1.15,0.083
1.175,0.119
1.2,0.161
1.225,0.199
1.25,0.238
1.275,0.276
1.3,0.306
1.325,0.332
1.35,0.356
1.375,0.383
1.4,0.391
1.425,0.397
1.45,0.391
1.475,0.383
1.5,0.375
1.525,0.358
1.55,0.344
1.575,0.316
1.6,0.302
1.625,0.288
1.65,0.273
1.675,0.255
1.7,0.237
1.725,0.227
1.75,0.227
1.775,0.221
1.8,0.224
1.825,0.218
1.85,0.228
1.875,0.244
1.9,0.27
1.925,0.303
1.95,0.339
1.975,0.387
2,0.445
2.025,0.507
2.05,0.572
2.075,0.648
2.1,0.722
2.125,0.788
2.15,0.854
2.175,0.918
2.2,0.975
2.225,1.013
2.25,1.043
2.275,1.061
2.3,1.061
2.325,1.05
2.35,1.03
2.375,0.996
2.4,0.964
2.425,0.932
2.45,0.894
2.475,0.863
2.5,0.829
2.525,0.807
2.55,0.793
2.575,0.779
2.6,0.77
2.625,0.764
2.65,0.764
2.675,0.758
2.7,0.748
2.725,0.738
2.75,0.729
2.775,0.701
2.8,0.681
2.825,0.655
2.85,0.623
2.875,0.582
2.9,0.548
2.925,0.516
2.95,0.474
2.975,0.436
3,0.384
3.025,0.339
3.05,0.297
3.075,0.233
3.1,0.171
3.125,0.101
3.15,0.042
3.175,-0.026
3.2,-0.104
3.225,-0.174
3.25,-0.24
3.275,-0.314
3.3,-0.383
3.325,-0.437
3.35,-0.495
3.375,-0.545
3.4,-0.593
3.425,-0.622
3.45,-0.648
3.475,-0.668
3.5,-0.684
3.525,-0.686
3.55,-0.69
3.575,-0.693
3.6,-0.683
3.625,-0.683
3.65,-0.665
3.675,-0.655
3.7,-0.636
3.725,-0.62
3.75,-0.604
3.775,-0.588
3.8,-0.576
3.825,-0.56
3.85,-0.551
3.875,-0.553
3.9,-0.553
3.925,-0.565
3.95,-0.579
3.975,-0.598
4,-0.616
4.025,-0.634
4.05,-0.646
4.075,-0.664
4.1,-0.67
4.125,-0.671
4.15,-0.665
4.175,-0.655
4.2,-0.637
4.225,-0.619
4.25,-0.599
4.275,-0.578
4.3,-0.544
4.325,-0.516
4.35,-0.484
4.375,-0.45
4.4,-0.415
4.425,-0.375
4.45,-0.331
4.475,-0.281
4.5,-0.223
4.525,-0.177
4.55,-0.116
4.575,-0.05
4.6,0.012
4.625,0.068
4.65,0.118
4.675,0.173
4.7,0.219
4.725,0.263
4.75,0.285
4.775,0.305
4.8,0.311
4.825,0.316
4.85,0.314
4.875,0.298
4.9,0.274
4.925,0.258
4.95,0.228
4.975,0.205
5,0.185
5.025,0.173
5.05,0.165
5.075,0.161
5.1,0.174
5.125,0.19
5.15,0.214
5.175,0.252
5.2,0.286
5.225,0.334
5.25,0.373
5.275,0.413
5.3,0.455
5.325,0.481
5.35,0.503
5.375,0.519
5.4,0.52
5.425,0.506
5.45,0.488
5.475,0.45
5.5,0.404
5.525,0.347
5.55,0.291
5.575,0.221
5.6,0.153
5.625,0.085
5.65,0.019
5.675,-0.048
5.7,-0.112
5.725,-0.16
5.75,-0.198
5.775,-0.242
5.8,-0.28
5.825,-0.297
5.85,-0.313
5.875,-0.321
5.9,-0.315
5.925,-0.307
5.95,-0.288
5.975,-0.268
6,-0.25
6.025,-0.228
6.05,-0.21
6.075,-0.194
6.1,-0.171
6.125,-0.161
6.15,-0.151
6.175,-0.143
6.2,-0.141
6.225,-0.143
6.25,-0.14
6.275,-0.15
6.3,-0.152
6.325,-0.154
6.35,-0.164
6.375,-0.164
6.4,-0.169
6.425,-0.167
6.45,-0.161
6.475,-0.161
6.5,-0.153
6.525,-0.146
6.55,-0.15
6.575,-0.138
6.6,-0.132
6.625,-0.132
6.65,-0.122
6.675,-0.113
6.7,-0.111
6.725,-0.095
6.75,-0.085
6.775,-0.067
6.8,-0.045
6.825,-0.014
6.85,0.022
6.875,0.068
6.9,0.126
6.925,0.178
6.95,0.238
6.975,0.315
7,0.389
7.025,0.463
7.05,0.527
7.075,0.611
7.1,0.678
7.125,0.752
7.15,0.808
7.175,0.866
7.2,0.918
7.225,0.958
7.25,0.987
7.275,1.017
7.3,1.039
7.325,1.041
7.35,1.033
7.375,1.029
7.4,1.014
7.425,0.984
7.45,0.95
7.475,0.918
7.5,0.876
7.525,0.846
7.55,0.821
7.575,0.803
7.6,0.785
7.625,0.779
7.65,0.775
7.675,0.785
7.7,0.79
7.725,0.8
7.75,0.804
7.775,0.804
7.8,0.808
7.825,0.803
7.85,0.795
