Angle,DRValue,,,é¸îgêî [mm^-1],é¸ä˙ [mm],DRValue [um]_amp
deg,um,,0,0,,0.066639583
0,0.728,,1,0.002777971,359.975,0.033735737
0.025,0.764,,2,0.005555941,179.9875,0.248307014
0.05,0.799,,3,0.008333912,119.9916667,0.022118857
0.075,0.831,,4,0.011111883,89.99375,0.004543467
0.1,0.849,,5,0.013889853,71.995,0.01914546
0.125,0.859,,6,0.016667824,59.99583333,0.008058982
0.15,0.865,,7,0.019445795,51.425,0.005135192
0.175,0.86,,8,0.022223766,44.996875,0.017106013
0.2,0.846,,9,0.025001736,39.99722222,0.017410501
0.225,0.828,,10,0.027779707,35.9975,0.022909414
0.25,0.796,,11,0.030557678,32.725,0.006187631
0.275,0.762,,12,0.033335648,29.99791667,0.002922444
0.3,0.729,,13,0.036113619,27.69038462,0.006171114
0.325,0.683,,14,0.03889159,25.7125,0.00582136
0.35,0.645,,15,0.04166956,23.99833333,0.0102476
0.375,0.605,,16,0.044447531,22.4984375,0.009909666
0.4,0.553,,17,0.047225502,21.175,0.006100792
0.425,0.507,,18,0.050003472,19.99861111,0.006591343
0.45,0.466,,19,0.052781443,18.94605263,0.022758525
0.475,0.418,,20,0.055559414,17.99875,0.0009746
0.5,0.366,,21,0.058337385,17.14166667,0.008318853
0.525,0.33,,22,0.061115355,16.3625,0.018837786
0.55,0.29,,23,0.063893326,15.65108696,0.005158962
0.575,0.247,,24,0.066671297,14.99895833,0.009197547
0.6,0.197,,25,0.069449267,14.399,0.010066803
0.625,0.169,,26,0.072227238,13.84519231,0.008398836
0.65,0.141,,27,0.075005209,13.33240741,0.011740422
0.675,0.117,,28,0.077783179,12.85625,0.008559139
0.7,0.096,,29,0.08056115,12.41293103,0.002901732
0.725,0.084,,30,0.083339121,11.99916667,0.004347698
0.75,0.074,,31,0.086117091,11.61209677,0.000440591
0.775,0.056,,32,0.088895062,11.24921875,0.004276196
0.8,0.046,,33,0.091673033,10.90833333,0.009233237
0.825,0.04,,34,0.094451004,10.5875,0.00250429
0.85,0.029,,35,0.097228974,10.285,0.019451838
0.875,0.015,,36,0.100006945,9.999305556,0.011238792
0.9,0.001,,37,0.102784916,9.729054054,0.007481136
0.925,-0.009,,38,0.105562886,9.473026316,0.009078703
0.95,-0.017,,39,0.108340857,9.230128205,0.004106228
0.975,-0.022,,40,0.111118828,8.999375,0.008313745
1,-0.026,,41,0.113896798,8.779878049,0.004909106
1.025,-0.024,,42,0.116674769,8.570833333,0.003848349
1.05,-0.016,,43,0.11945274,8.371511628,0.004266758
1.075,0.002,,44,0.12223071,8.18125,0.00488369
1.1,0.022,,45,0.125008681,7.999444444,0.0094969
1.125,0.053,,46,0.127786652,7.825543478,0.00446758
1.15,0.083,,47,0.130564623,7.659042553,0.002747507
1.175,0.119,,48,0.133342593,7.499479167,0.003553406
1.2,0.161,,49,0.136120564,7.346428571,0.00470662
1.225,0.199,,50,0.138898535,7.1995,0.011422827
1.25,0.238,,51,0.141676505,7.058333333,0.005245532
1.275,0.276,,52,0.144454476,6.922596154,0.009976005
1.3,0.306,,53,0.147232447,6.791981132,0.005240972
1.325,0.332,,54,0.150010417,6.666203704,0.038653849
1.35,0.356,,55,0.152788388,6.545,0.374863656
1.375,0.383,,56,0.155566359,6.428125,0.053326603
1.4,0.391,,57,0.158344329,6.315350877,0.00828989
1.425,0.397,,58,0.1611223,6.206465517,0.018191372
1.45,0.391,,59,0.163900271,6.101271186,0.012227971
1.475,0.383,,60,0.166678242,5.999583333,0.034533645
1.5,0.375,,61,0.169456212,5.901229508,0.008010821
1.525,0.358,,62,0.172234183,5.806048387,0.009976163
1.55,0.344,,63,0.175012154,5.713888889,0.002970528
1.575,0.316,,64,0.177790124,5.624609375,0.002525994
1.6,0.302,,65,0.180568095,5.538076923,0.007087347
1.625,0.288,,66,0.183346066,5.454166667,0.010803213
1.65,0.273,,67,0.186124036,5.372761194,0.002304879
1.675,0.255,,68,0.188902007,5.29375,0.011168175
1.7,0.237,,69,0.191679978,5.217028986,0.006221058
1.725,0.227,,70,0.194457948,5.1425,0.00444212
1.75,0.227,,71,0.197235919,5.070070423,0.006295995
1.775,0.221,,72,0.20001389,4.999652778,0.007568243
1.8,0.224,,73,0.202791861,4.931164384,0.005760772
1.825,0.218,,74,0.205569831,4.864527027,0.002999294
1.85,0.228,,75,0.208347802,4.799666667,0.002765707
1.875,0.244,,76,0.211125773,4.736513158,0.01051308
1.9,0.27,,77,0.213903743,4.675,0.006240327
1.925,0.303,,78,0.216681714,4.615064103,0.00577036
1.95,0.339,,79,0.219459685,4.55664557,0.005433372
1.975,0.387,,80,0.222237655,4.4996875,0.002858685
2,0.445,,81,0.225015626,4.444135802,0.01163078
2.025,0.507,,82,0.227793597,4.389939024,0.005404305
2.05,0.572,,83,0.230571567,4.337048193,0.004160334
2.075,0.648,,84,0.233349538,4.285416667,0.014161984
2.1,0.722,,85,0.236127509,4.235,0.021544103
2.125,0.788,,86,0.23890548,4.185755814,0.014852674
2.15,0.854,,87,0.24168345,4.137643678,0.006610322
2.175,0.918,,88,0.244461421,4.090625,0.011383034
2.2,0.975,,89,0.247239392,4.044662921,0.045600772
2.225,1.013,,90,0.250017362,3.999722222,0.111605242
2.25,1.043,,91,0.252795333,3.955769231,0.022153282
2.275,1.061,,92,0.255573304,3.912771739,0.005029372
2.3,1.061,,93,0.258351274,3.870698925,0.004049632
2.325,1.05,,94,0.261129245,3.829521277,0.006941391
2.35,1.03,,95,0.263907216,3.789210526,0.003843563
2.375,0.996,,96,0.266685186,3.749739583,0.013468374
2.4,0.964,,97,0.269463157,3.711082474,0.005754899
2.425,0.932,,98,0.272241128,3.673214286,0.0085571
2.45,0.894,,99,0.275019099,3.636111111,0.002446139
2.475,0.863,,100,0.277797069,3.59975,0.010581326
2.5,0.829,,101,0.28057504,3.564108911,0.00417231
2.525,0.807,,102,0.283353011,3.529166667,0.006172875
2.55,0.793,,103,0.286130981,3.494902913,0.00466365
2.575,0.779,,104,0.288908952,3.461298077,0.003990435
2.6,0.77,,105,0.291686923,3.428333333,0.008417326
2.625,0.764,,106,0.294464893,3.395990566,0.003211771
2.65,0.764,,107,0.297242864,3.364252336,0.001903545
2.675,0.758,,108,0.300020835,3.333101852,0.006655324
2.7,0.748,,109,0.302798805,3.302522936,0.010291551
2.725,0.738,,110,0.305576776,3.2725,0.026244611
2.75,0.729,,111,0.308354747,3.243018018,0.005081323
2.775,0.701,,112,0.311132718,3.2140625,0.005888514
2.8,0.681,,113,0.313910688,3.185619469,0.012970766
2.825,0.655,,114,0.316688659,3.157675439,0.017211864
2.85,0.623,,115,0.31946663,3.130217391,0.026268426
2.875,0.582,,116,0.3222446,3.103232759,0.004881976
2.9,0.548,,117,0.325022571,3.076709402,0.006007099
2.925,0.516,,118,0.327800542,3.050635593,0.012144623
2.95,0.474,,119,0.330578512,3.025,0.004763779
2.975,0.436,,120,0.333356483,2.999791667,0.010142407
3,0.384,,121,0.336134454,2.975,0.026608591
3.025,0.339,,122,0.338912424,2.950614754,0.008713323
3.05,0.297,,123,0.341690395,2.926626016,0.00874647
3.075,0.233,,124,0.344468366,2.903024194,0.013155399
3.1,0.171,,125,0.347246337,2.8798,0.004108877
3.125,0.101,,126,0.350024307,2.856944444,0.007716198
3.15,0.042,,127,0.352802278,2.834448819,0.009238366
3.175,-0.026,,128,0.355580249,2.812304688,0.00269263
3.2,-0.104,,129,0.358358219,2.790503876,0.006739375
3.225,-0.174,,130,0.36113619,2.769038462,0.012765579
3.25,-0.24,,131,0.363914161,2.747900763,0.007571471
3.275,-0.314,,132,0.366692131,2.727083333,0.000828137
3.3,-0.383,,133,0.369470102,2.706578947,0.014629597
3.325,-0.437,,134,0.372248073,2.686380597,0.010240792
3.35,-0.495,,135,0.375026043,2.666481481,0.004751841
3.375,-0.545,,136,0.377804014,2.646875,0.021277324
3.4,-0.593,,137,0.380581985,2.627554745,0.01555184
3.425,-0.622,,138,0.383359956,2.608514493,0.002802764
3.45,-0.648,,139,0.386137926,2.589748201,0.005997005
3.475,-0.668,,140,0.388915897,2.57125,0.009078879
3.5,-0.684,,141,0.391693868,2.553014184,0.028300772
3.525,-0.686,,142,0.394471838,2.535035211,0.03754752
3.55,-0.69,,143,0.397249809,2.517307692,0.025241826
3.575,-0.693,,144,0.40002778,2.499826389,0.122839345
3.6,-0.683,,145,0.40280575,2.482586207,0.466649519
3.625,-0.683,,146,0.405583721,2.465582192,0.154830233
3.65,-0.665,,147,0.408361692,2.448809524,0.034098273
3.675,-0.655,,148,0.411139662,2.432263514,0.004843902
3.7,-0.636,,149,0.413917633,2.415939597,0.02952814
3.725,-0.62,,150,0.416695604,2.399833333,0.018079726
3.75,-0.604,,151,0.419473575,2.383940397,0.001094349
3.775,-0.588,,152,0.422251545,2.368256579,0.016221867
3.8,-0.576,,153,0.425029516,2.352777778,0.012379228
3.825,-0.56,,154,0.427807487,2.3375,0.014739912
3.85,-0.551,,155,0.430585457,2.322419355,0.021086952
3.875,-0.553,,156,0.433363428,2.307532051,0.008868096
3.9,-0.553,,157,0.436141399,2.292834395,0.013570841
3.925,-0.565,,158,0.438919369,2.278322785,0.0027422
3.95,-0.579,,159,0.44169734,2.263993711,0.006822132
3.975,-0.598,,160,0.444475311,2.24984375,0.007435841
4,-0.616,,161,0.447253281,2.235869565,0.003369438
4.025,-0.634,,162,0.450031252,2.222067901,0.005205999
4.05,-0.646,,163,0.452809223,2.208435583,0.013971694
4.075,-0.664,,164,0.455587194,2.194969512,0.011099797
4.1,-0.67,,165,0.458365164,2.181666667,0.006011035
4.125,-0.671,,166,0.461143135,2.168524096,0.008815236
4.15,-0.665,,167,0.463921106,2.155538922,0.012147575
4.175,-0.655,,168,0.466699076,2.142708333,0.006884229
4.2,-0.637,,169,0.469477047,2.130029586,0.016206211
4.225,-0.619,,170,0.472255018,2.1175,0.019459141
4.25,-0.599,,171,0.475032988,2.105116959,0.003216603
4.275,-0.578,,172,0.477810959,2.092877907,0.004715585
4.3,-0.544,,173,0.48058893,2.080780347,0.004383268
4.325,-0.516,,174,0.4833669,2.068821839,0.008677189
4.35,-0.484,,175,0.486144871,2.057,0.000413357
4.375,-0.45,,176,0.488922842,2.0453125,0.005504586
4.4,-0.415,,177,0.491700813,2.033757062,0.004844187
4.425,-0.375,,178,0.494478783,2.022331461,0.001242569
4.45,-0.331,,179,0.497256754,2.01103352,0.012603799
4.475,-0.281,,180,0.500034725,1.999861111,0.014563195
4.5,-0.223,,181,0.502812695,1.988812155,0.008528444
4.525,-0.177,,182,0.505590666,1.977884615,0.001034132
4.55,-0.116,,183,0.508368637,1.967076503,0.004552842
4.575,-0.05,,184,0.511146607,1.95638587,0.002877161
4.6,0.012,,185,0.513924578,1.945810811,0.001457178
4.625,0.068,,186,0.516702549,1.935349462,0.007689127
4.65,0.118,,187,0.519480519,1.925,0.004239308
4.675,0.173,,188,0.52225849,1.914760638,0.00632281
4.7,0.219,,189,0.525036461,1.90462963,0.006063409
4.725,0.263,,190,0.527814432,1.894605263,0.002428153
4.75,0.285,,191,0.530592402,1.884685864,0.004646242
4.775,0.305,,192,0.533370373,1.874869792,0.013165882
4.8,0.311,,193,0.536148344,1.86515544,0.002825101
4.825,0.316,,194,0.538926314,1.855541237,0.006346751
4.85,0.314,,195,0.541704285,1.846025641,0.010054131
4.875,0.298,,196,0.544482256,1.836607143,0.007325088
4.9,0.274,,197,0.547260226,1.827284264,0.001826789
4.925,0.258,,198,0.550038197,1.818055556,0.006908271
4.95,0.228,,199,0.552816168,1.808919598,0.026176827
4.975,0.205,,200,0.555594138,1.799875,0.03377897
5,0.185,,201,0.558372109,1.790920398,0.017915768
5.025,0.173,,202,0.56115008,1.782054455,0.015450253
5.05,0.165,,203,0.563928051,1.773275862,0.008205239
5.075,0.161,,204,0.566706021,1.764583333,0.012396164
5.1,0.174,,205,0.569483992,1.75597561,0.015209266
5.125,0.19,,206,0.572261963,1.747451456,0.004243038
5.15,0.214,,207,0.575039933,1.739009662,0.004847024
5.175,0.252,,208,0.577817904,1.730649038,0.005141231
5.2,0.286,,209,0.580595875,1.722368421,0.003572841
5.225,0.334,,210,0.583373845,1.714166667,0.002946959
5.25,0.373,,211,0.586151816,1.706042654,0.008068777
5.275,0.413,,212,0.588929787,1.697995283,0.004228217
5.3,0.455,,213,0.591707757,1.690023474,0.005015944
5.325,0.481,,214,0.594485728,1.682126168,0.004507626
5.35,0.503,,215,0.597263699,1.674302326,0.006660187
5.375,0.519,,216,0.60004167,1.666550926,0.004150764
5.4,0.52,,217,0.60281964,1.658870968,0.006571918
5.425,0.506,,218,0.605597611,1.651261468,0.004218126
5.45,0.488,,219,0.608375582,1.643721461,0.005014248
5.475,0.45,,220,0.611153552,1.63625,0.00968116
5.5,0.404,,221,0.613931523,1.628846154,0.003377178
5.525,0.347,,222,0.616709494,1.621509009,0.00824134
5.55,0.291,,223,0.619487464,1.614237668,0.009023718
5.575,0.221,,224,0.622265435,1.60703125,0.006063723
5.6,0.153,,225,0.625043406,1.599888889,0.002062247
5.625,0.085,,226,0.627821376,1.592809735,0.002738256
5.65,0.019,,227,0.630599347,1.585792952,0.012765946
5.675,-0.048,,228,0.633377318,1.578837719,0.003217272
5.7,-0.112,,229,0.636155289,1.571943231,0.000303899
